city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
Lagoa de São Francisco,2205573,605,8927.25395,2022-03-26,0.0066,4,6777,6758,True,662,city,PI
Lagoa do Barro do Piauí,2205565,1065,22873.71134,2022-03-26,0.0085,9,4656,4655,True,703,city,PI
Lagoa do Piauí,2205581,1057,25938.65031,2022-03-26,0.0057,6,4075,4064,True,679,city,PI
Lagoa do Sítio,2205599,97,1866.10235,2022-03-26,0.134,13,5198,5177,True,676,city,PI
Lagoinha do Piauí,2205540,395,13820.85374,2022-03-26,0.0228,9,2858,2845,True,656,city,PI
Landri Sales,2205607,1211,22922.58187,2022-03-26,0.019,23,5283,5295,True,677,city,PI
Luís Correia,2205706,2148,7056.96826,2022-03-26,0.0307,66,30438,30311,True,705,city,PI
Luzilândia,2205805,2755,10802.2271,2022-03-26,0.0221,61,25504,25486,True,699,city,PI
Madeiro,2205854,412,4938.86358,2022-03-26,0.0146,6,8342,8310,True,668,city,PI
Manoel Emídio,2205904,504,9418.80022,2022-03-26,0.0377,19,5351,5349,True,698,city,PI
Marcolândia,2205953,993,11623.55145,2022-03-26,0.0211,21,8543,8492,True,682,city,PI
Marcos Parente,2206001,396,8709.03893,2022-03-26,0.0227,9,4547,4549,True,688,city,PI
Massapê do Piauí,2206050,344,5334.16033,2022-03-26,0.0087,3,6449,6441,True,645,city,PI
Matias Olímpio,2206100,728,6643.54809,2022-03-26,0.0192,14,10958,10936,True,679,city,PI
Miguel Alves,2206209,2294,6780.36237,2022-03-26,0.0166,38,33833,33760,True,702,city,PI
Miguel Leão,2206308,289,23268.9211,2022-03-26,0.0104,3,1242,1246,True,637,city,PI
Milton Brandão,2206357,322,4872.88136,2022-03-26,0.0093,3,6608,6613,True,666,city,PI
Monsenhor Gil,2206407,1819,17218.85649,2022-03-26,0.0242,44,10564,10564,True,695,city,PI
Monsenhor Hipólito,2206506,786,10119.73735,2022-03-26,0.0076,6,7767,7749,True,690,city,PI
Monte Alegre do Piauí,2206605,1192,11229.39237,2022-03-26,0.0159,19,10615,10613,True,651,city,PI
Morro Cabeça no Tempo,2206654,166,3664.45916,2022-03-26,0.0241,4,4530,4532,True,694,city,PI
Morro do Chapéu do Piauí,2206670,1147,16840.40523,2022-03-26,0.0061,7,6811,6796,True,683,city,PI
Murici dos Portelas,2206696,330,3583.45097,2022-03-26,0.0333,11,9209,9159,True,646,city,PI
Nazaré do Piauí,2206704,455,6214.14914,2022-03-26,0.033,15,7322,7339,True,699,city,PI
Nazária,2206720,454,5277.84236,2022-03-26,0.0419,19,8602,8570,True,701,city,PI
Nossa Senhora de Nazaré,2206753,596,12185.64711,2022-03-26,0.0319,19,4891,4870,True,648,city,PI
Nossa Senhora dos Remédios,2206803,947,10856.35676,2022-03-26,0.0169,16,8723,8692,True,673,city,PI
Nova Santa Rita,2207959,151,3445.12891,2022-03-26,0.0265,4,4383,4374,True,674,city,PI
Novo Oriente do Piauí,2206902,426,6497.86455,2022-03-26,0.0305,13,6556,6565,True,641,city,PI
Novo Santo Antônio,2206951,281,9357.30936,2022-03-26,0.0178,5,3003,2991,True,669,city,PI
Oeiras,2207009,6021,16235.6748,2022-03-26,0.0151,91,37085,37029,True,697,city,PI
Olho D'Água do Piauí,2207108,291,11790.92382,2022-03-26,0.0103,3,2468,2459,True,674,city,PI
Padre Marcos,2207207,529,7696.78452,2022-03-26,0.017,9,6873,6868,True,672,city,PI
Paes Landim,2207306,240,5816.77169,2022-03-26,0.0333,8,4126,4129,True,651,city,PI
Pajeú do Piauí,2207355,104,3055.22914,2022-03-26,0.0865,9,3404,3389,True,642,city,PI
Palmeira do Piauí,2207405,237,4706.11597,2022-03-26,0.0253,6,5036,5043,True,650,city,PI
Palmeirais,2207504,332,2275.99918,2022-03-26,0.0723,24,14587,14539,True,694,city,PI
Paquetá,2207553,196,4978.40996,2022-03-26,0.0459,9,3937,3945,True,631,city,PI
Parnaguá,2207603,327,3022.46049,2022-03-26,0.0306,10,10819,10791,True,672,city,PI
Parnaíba,2207702,19497,12703.11828,2022-03-26,0.0247,482,153482,153078,True,725,city,PI
Passagem Franca do Piauí,2207751,258,5968.07772,2022-03-26,0.0426,11,4323,4313,True,674,city,PI
Patos do Piauí,2207777,453,7071.49547,2022-03-26,0.0265,12,6406,6392,True,652,city,PI
Pau D'Arco do Piauí,2207793,458,11266.91267,2022-03-26,0.0109,5,4065,4045,True,678,city,PI
Paulistana,2207801,1308,6363.72482,2022-03-26,0.0138,18,20554,20523,True,673,city,PI
Pavussu,2207850,502,13682.20223,2022-03-26,0.0299,15,3669,3677,True,677,city,PI
Pedro II,2207900,5046,13012.53288,2022-03-26,0.0228,115,38778,38742,True,703,city,PI
Pedro Laurentino,2207934,80,3144.65409,2022-03-26,0.025,2,2544,2536,True,672,city,PI
Picos,2208007,11630,14828.32043,2022-03-26,0.0156,182,78431,78222,True,707,city,PI
Pimenteiras,2208106,1332,10972.89727,2022-03-26,0.0233,31,12139,12127,True,709,city,PI
Pio IX,2208205,1708,9252.93895,2022-03-26,0.0135,23,18459,18425,True,695,city,PI
Piracuruca,2208304,3021,10462.70001,2022-03-26,0.0351,106,28874,28791,True,716,city,PI
Piripiri,2208403,13766,21581.19993,2022-03-26,0.0152,209,63787,63742,True,697,city,PI
Porto,2208502,553,4386.10406,2022-03-26,0.0271,15,12608,12568,True,689,city,PI
Porto Alegre do Piauí,2208551,186,6838.23529,2022-03-26,0.0215,4,2720,2710,True,620,city,PI
Prata do Piauí,2208601,265,8412.69841,2022-03-26,0.0189,5,3150,3151,True,652,city,PI
Queimada Nova,2208650,750,8317.62227,2022-03-26,0.008,6,9017,8992,True,694,city,PI
Redenção do Gurguéia,2208700,890,10118.23556,2022-03-26,0.0236,21,8796,8778,True,684,city,PI
Regeneração,2208809,1071,5956.94977,2022-03-26,0.0243,26,17979,17978,True,689,city,PI
